title,author,averagerating,totalratings,numberofpages,genre,bookformat,language
"
The Rosie Project (Don Tillman, #1)
",Graeme Simsion,4.01,"488,154",295,Fiction,Hardcover,English
"
The Light Between Oceans
",M.L. Stedman,4.02,"424,417",362,Fiction,Hardcover,English
"
A Man Called Ove
",Fredrik Backman,4.35,"679,273",337,Fiction,Hardcover,English
"
Bossypants
",Tina Fey,3.95,"910,070",283,Nonfiction,Kindle Edition,English
"
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)
",Benjamin Alire Sáenz,4.34,"339,211",359,Young Adult,Hardcover,English
"
Anna and the French Kiss (Anna and the French Kiss, #1)
",Stephanie Perkins,4,"398,128",372,Young Adult,Hardcover,English
"
Station Eleven
",Emily St. John Mandel,4.05,"364,546",333,Fiction,Hardcover,English
"
Last Sacrifice (Vampire Academy, #6)
",Richelle Mead,4.36,"273,505",594,Young Adult,Hardcover,English
"
Quiet: The Power of Introverts in a World That Can't Stop Talking
",Susan Cain,4.06,"365,286",352,Nonfiction,Hardcover,English
"
The Raven Boys (The Raven Cycle, #1)
",Maggie Stiefvater,4.04,"312,267",409,Fantasy,Hardcover,English
"
Where'd You Go, Bernadette
",Maria Semple,3.89,"516,021",330,Fiction,Hardcover,English
"
Life After Life (Todd Family, #1)
",Kate Atkinson,3.76,"211,392",531,Fiction,Hardcover,English
"
Fall of Giants (The Century Trilogy, #1)
",Ken Follett,4.27,"294,457",985,Historical,Hardcover,English
"
Before I Fall
",Lauren Oliver,3.89,"317,674",470,Young Adult,Paperback,English
"
The 5th Wave (The 5th Wave, #1)
",Rick Yancey,4.02,"422,063",457,Young Adult,Hardcover,English
"
The Red Pyramid (The Kane Chronicles, #1)
",Rick Riordan,4.08,"354,642",516,Fantasy,Hardcover,English
"
Between Shades of Gray
",Ruta Sepetys,4.35,"189,316",516,Fantasy,Hardcover,English
"
Words of Radiance (The Stormlight Archive, #2)
",Brandon Sanderson,4.73,"243,792",1087,Fantasy,Hardcover,English
"
Inferno (Robert Langdon, #4)
",Dan Brown,3.86,"506,077",463,Fiction,Hardcover,English
"
The Cuckoo's Calling (Cormoran Strike, #1)
",Robert Galbraith,3.87,"522,123",456,Mystery,Hardcover,English
"
Spirit Bound (Vampire Academy, #5)
",Richelle Mead,4.32,"279,387",489,Young Adult,Hardcover,English
"
The Casual Vacancy
",J.K. Rowling,3.31,"318,202",503,Fiction,Hardcover,English
"
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban
",Malala Yousafzai,4.12,"479,559",327,Nonfiction,Hardcover,English
"
A Discovery of Witches (All Souls Trilogy, #1)
",Deborah Harkness,4,"421,158",579,Fantasy,Hardcover,English
"
Heir of Fire (Throne of Glass, #3)
",Sarah J. Maas,4.44,"366,631",565,Fantasy,Hardcover,English
"
A Visit from the Goon Squad
",Jennifer Egan,3.67,"186,826",288,Fiction,Hardcover,English
"
Before I Go to Sleep
",S.J. Watson,3.89,"312,295",359,Fiction,Hardcover,English
"
Americanah
",Chimamanda Ngozi Adichie,4.3,"307,611",477,Fiction,Hardcover,English
"
The Throne of Fire (The Kane Chronicles, #2)
",Rick Riordan,4.17,"185,410",452,Fantasy,Hardcover,English
"
The Unbecoming of Mara Dyer (Mara Dyer, #1)
",Michelle Hodkin,4.02,"165,455",456,Young Adult,Kindle Edition,English
"
Una Historia de Ayer
",Sergio Cobo,4.45,"20,576",75,Thriller,Kindle Edition,Spanish
"
The Sense of an Ending
",Julian Barnes,3.73,"162,570",150,Fiction,Hardcover,English
"
Crescendo (Hush, Hush, #2)
",Becca Fitzpatrick,4.01,"299,720",432,Young Adult,Hardcover,English
"
Bring Up the Bodies (Thomas Cromwell, #2)
",Hilary Mantel,4.21,"89,646",412,Historical,Hardcover,English
"
The Song of Achilles
",Madeline Miller,4.41,"473,667",378,Historical,Paperback,English
"
Bloodlines (Bloodlines, #1)
",Richelle Mead,4.18,"182,364",421,Young Adult,Hardcover,English
"
The Iron King (The Iron Fey, #1)
",Julie Kagawa,3.89,"210,435",363,Fantasy,Paperback,English
"
The Passage (The Passage, #1)
",Justin Cronin,4.02,"203,441",766,Horror,Hardcover,English
"
Queen of Shadows (Throne of Glass, #4)
",Sarah J. Maas,4.53,"317,020",648,Fantasy,Hardcover,English
"
Go the F**k to Sleep
",Adam Mansbach,4.26,"86,612",17,Humor,Kindle Edition,English
"
Silence (Hush, Hush, #3)
",Becca Fitzpatrick,4.09,"261,898",17,Humor,Kindle Edition,English
"
The Art of Fielding
",Chad Harbach,3.96,"113,370",512,Fiction,Hardcover,English
"
Pandemonium (Delirium, #2)
",Lauren Oliver,4.04,"225,823",375,Young Adult,Hardcover,English
"
A Little Life
",Hanya Yanagihara,4.31,"282,629",720,Fiction,Hardcover,English
"
State of Wonder
",Ann Patchett,3.88,"172,675",353,Fiction,Hardcover,English
"
Winter of the World (The Century Trilogy #2)
",Ken Follett,4.34,"138,088",940,Historical,Hardcover,English
"
Across the Universe (Across the Universe, #1)
",Beth Revis,3.77,"120,070",399,Young Adult,Hardcover,English
"
In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin
",Erik Larson,3.83,"182,564",448,History,Hardcover,English
"
Wild: From Lost to Found on the Pacific Crest Trail
",Cheryl Strayed,4.02,"675,538",315,Nonfiction,Hardcover,English
"
Freedom
",Jonathan Franzen,3.76,"158,643",562,Fiction,Hardcover,English
"
Major Pettigrew's Last Stand
",Helen Simonson,3.89,"134,575",359,Fiction,Hardcover,English
"
Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)
",John Tiffany,3.57,"798,306",343,Fantasy,Hardcover,English
"
Defending Jacob
",William Landay,3.98,"283,477",421,Fiction,Hardcover,English
"
Shadow and Bone (The Shadow and Bone Trilogy, #1)
",Leigh Bardugo,3.97,"574,535",358,Fantasy,Hardcover,English
"
Between the World and Me
",Ta-Nehisi Coates,4.37,"285,410",152,Nonfiction,Hardcover,English
"
Torment (Fallen, #2)
",Lauren Kate,3.85,"225,512",452,Young Adult,Hardcover,English
"
Big Little Lies
",Liane Moriarty,4.28,"829,604",452,Young Adult,Hardcover,English
"
The Thousand Autumns of Jacob de Zoet
",David Mitchell,3.97,"64,637",479,Fiction,Hardcover,English
"
Red Rising (Red Rising Saga, #1)
",Pierce Brown,4.23,"285,086",382,Science Fiction,Hardcover,English
"
The Hate U Give (The Hate U Give, #1)
",Angie Thomas,4.5,"629,310",444,Young Adult,Hardcover,English
"
Unearthly (Unearthly, #1)
",Cynthia Hand,4.01,"129,590",435,Young Adult,Hardcover,English
"
The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)
",Rachel Joyce,3.91,"160,482",320,Fiction,Hardcover,English
"
The Orphan Master's Son
",Adam Johnson,4.03,"98,133",443,Fiction,Hardcover,English
"
Hex Hall (Hex Hall, #1)
",Rachel Hawkins,3.91,"145,088",323,Young Adult,Hardcover,English
"
A Monster Calls
",Patrick Ness,4.32,"235,597",237,Fantasy,Paperback,English
"
The One (The Selection, #3)
",Kiera Cass,4.18,"477,274",323,Young Adult,Hardcover,English
"
The Elite (The Selection, #2)
",Kiera Cass,3.99,"534,368",336,Young Adult,Hardcover,English
"
The Invention of Wings
",Sue Monk Kidd,4.23,"285,220",384,Historical,Hardcover,English
"
The Snow Child
",Eowyn Ivey,3.97,"129,935",386,Fiction,Hardcover,English
"
Saga, Vol. 1
",Brian K. Vaughan,4.17,"281,700",176,Sequential Art,Paperback,English
"
Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened
",Allie Brosh,4.12,"196,366",371,Humor,Paperback,English
"
Champion (Legend, #3)
",Marie Lu,4.32,"187,756",369,Science Fiction,Hardcover,English
"
Fifty Shades of Grey (Fifty Shades, #1)
",E.L. James,3.66,"2,132,505",356,Romance,Paperback,English
"
The Golem and the Jinni (The Golem and the Jinni, #1)
",Helene Wecker,4.08,"114,532",486,Fantasy,Hardcover,English
"
Uprooted
",Naomi Novik,4.04,"196,376",435,Fantasy,Hardcover,English
"
Doctor Sleep
",Stephen King,4.1,"220,592",531,Horror,Hardcover,English
"
Lady Midnight (The Dark Artifices, #1)
",Cassandra Clare,4.36,"197,447",669,Fantasy,Hardcover,English
"
Burial Rites
",Hannah Kent,4,"101,283",336,Historical,Hardcover,English
"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
",Daniel James Brown,4.34,"249,501",404,Nonfiction,Hardcover,English
"
The Husband's Secret
",Liane Moriarty,3.95,"574,665",396,Fiction,Hardcover,English
"
Inheritance (The Inheritance Cycle, #4)
",Christopher Paolini,4.09,"239,777",849,Fiction,Hardcover,English
"
A Tale for the Time Being
",Ruth Ozeki,4,"95,082",432,Fiction,Hardcover,English
"
Prodigy (Legend, #2)
",Marie Lu,4.24,"226,778",371,Science Fiction,Hardcover,English
"
Thinking, Fast and Slow
",Daniel Kahneman,4.16,"368,730",499,Nonfiction,Hardcover,English
"
The Underground Railroad
",Colson Whitehead,4.04,"334,922",306,Historical,Hardcover,English
"
Carry On (Simon Snow, #1)
",Rainbow Rowell,4.2,"250,995",522,Fantasy,Paperback,English
"
The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)
",Jonas Jonasson,3.82,"238,474",396,Fiction,Paperback,English
"
Passion (Fallen, #3)
",Lauren Kate,3.86,"162,193",420,Young Adult,Hardcover,English
"
The Girl with All the Gifts (The Girl with All the Gifts, #1)
",M.R. Carey,3.94,"202,500",461,Horror,Paperback,English
"
Orphan Train
",Christina Baker Kline,4.18,"398,920",278,Historical,Paperback,English
"
The Silkworm (Cormoran Strike, #2)
",Robert Galbraith,4.04,"236,049",456,Mystery,Hardcover,English
"
Circe
",Madeline Miller,4.26,"515,722",393,Fantasy,Hardcover,English
"
Will Grayson, Will Grayson
",John Green,3.74,"362,368",310,Young Adult,Hardcover,English
"
The Assassin's Blade (Throne of Glass, #0.1-0.5)
",Sarah J. Maas,4.34,"180,368",448,Fantasy,ebook,English
"
The Paris Wife
",Paula McLain,3.81,"283,317",314,Historical,Hardcover,English
"
The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)
",Rick Riordan,4.22,"175,113",499,Fantasy,Hardcover,English
"
Obsidian (Lux, #1)
",Jennifer L. Armentrout,4.15,"258,112",335,Young Adult,Paperback,English
"
The Storied Life of A.J. Fikry
",Gabrielle Zevin,3.99,"217,189",260,Fiction,Hardcover,English
"
The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)
",Stephenie Meyer,3.51,"197,224",178,Young Adult,Hardcover,English
"
Just Kids
",Patti Smith,4.15,"207,927",304,Nonfiction,Hardcover,English
"
The Invisible Game: Mindset of a Winning Team
",Zoltan Andrejkovics,4.44,199,201,Psychology,Paperback,English
"
Hollow City (Miss Peregrine's Peculiar Children, #2)
",Ransom Riggs,4.04,"222,280",428,Fantasy,Paperback,English
"
Is Everyone Hanging Out Without Me?
",Mindy Kaling,3.85,"450,400",222,Nonfiction,Hardcover,English
"
A Gentleman in Moscow
",Amor Towles,4.32,"368,010",462,Historical,Paperback,English
"
House Rules
",Jodi Picoult,4.01,"157,329",532,Fiction,Hardcover,English
"
The Reckoning (Darkest Powers, #3)
",Kelley Armstrong,4.15,"119,570",391,Young Adult,Mass Market Paperback,English
"
Fifty Shades Darker (Fifty Shades, #2)
",E.L. James,3.84,"796,811",532,Romance,Paperback,English
"
The Serpent's Shadow (The Kane Chronicles, #3)
",Rick Riordan,4.27,"137,325",406,Fantasy,Hardcover,English
"
The Scorch Trials (The Maze Runner, #2)
",James Dashner,3.9,"495,678",362,Young Adult,Hardcover,English
"
My Brilliant Friend (The Neapolitan Novels #1)
",Elena Ferrante,3.97,"238,122",331,Fiction,Paperback,English
"
Wool Omnibus (Silo, #1)
",Hugh Howey,4.19,"174,728",509,Science Fiction,Kindle Edition,English
"
The Bone Clocks
",David Mitchell,3.83,"90,546",624,Fiction,Hardcover,English
"
Golden Son (Red Rising Saga, #2)
",Pierce Brown,4.43,"166,397",430,Science Fiction,ebook,English
"
The Darkest Minds (The Darkest Minds, #1)
",Alexandra Bracken,4.15,"168,327",488,Young Adult,Hardcover,English
"
Tenth of December
",George Saunders,3.95,"66,633",251,Short Stories,Hardcover,English
"
The Sisters Brothers
",Patrick deWitt,3.83,"95,696",328,Fiction,Hardcover,English
"
Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)
",Veronica Roth,4.13,"97,845",43,Young Adult,ebook,English
"
Go Set a Watchman
",Harper Lee,3.32,"246,986",278,Fiction,Hardcover,English
"
Simon vs. the Homo Sapiens Agenda (Simonverse, #1)
",Becky Albertalli,4.24,"344,689",303,Young Adult,Hardcover,English
"
Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)
",Seth Grahame-Smith,3.7,"137,334",336,Fiction,Hardcover,English
"
The Round House
",Louise Erdrich,3.95,"101,723",323,Fiction,Hardcover,English
"
Beautiful Disaster (Beautiful, #1)
",Jamie McGuire,4.07,"595,278",319,Romance,Kindle Edition,English
"
The Weed That Strings the Hangman's Bag (Flavia de Luce, #2)
",Alan Bradley,3.99,"52,410",364,Mystery,Hardcover,English
"
Crooked Kingdom (Six of Crows, #2)
",Leigh Bardugo,4.59,"344,358",561,Fantasy,Kindle Edition,English
"
Born a Crime: Stories From a South African Childhood
",Trevor Noah,4.46,"492,808",289,Nonfiction,Hardcover,English
"
The Orchardist
",Amanda Coplin,3.78,"43,435",426,Fiction,Hardcover,English
"
Dark Matter
",Blake Crouch,4.1,"307,966",342,Science Fiction,Hardcover,English
"
Where She Went (If I Stay, #2)
",Gayle Forman,4,"273,920",264,Young Adult,Hardcover,English
"
Fifty Shades Freed (Fifty Shades, #3)
",E.L. James,3.84,"760,864",579,Romance,Paperback,English
"
We Are All Completely Beside Ourselves
",Karen Joy Fowler,3.7,"113,708",310,Fiction,Hardcover,English
"
Eleanor Oliphant Is Completely Fine
",Gail Honeyman,4.26,"879,222",336,Fiction,Hardcover,English
"
The Fifth Season (The Broken Earth, #1)
",N.K. Jemisin,4.28,"189,328",468,Fantasy,Paperback,English
"
The Marriage Plot
",Jeffrey Eugenides,3.45,"114,175",406,Fiction,Hardcover,English
"
Winter (The Lunar Chronicles, #4)
",Marissa Meyer,4.41,"227,941",827,Fantasy,Hardcover,English
"
Horns
",Joe Hill,3.93,"106,131",370,Horror,Hardcover,English
"
MaddAddam (MaddAddam, #3)
",Margaret Atwood,3.99,"70,394",394,Fiction,Hardcover,English
"
The Dovekeepers
",Alice Hoffman,4.05,"70,989",504,Historical,Hardcover,English
"
The Sky Is Everywhere
",Jandy Nelson,3.98,"99,447",275,Young Adult,Hardcover,English
"
Everything I Never Told You
",Celeste Ng,3.86,"405,947",297,Fiction,Hardcover,English
"
The Hare With Amber Eyes: A Family's Century of Art and Loss
",Edmund de Waal,3.89,"47,038",368,Nonfiction,Hardcover,English
"
Burned (House of Night, #7)
",P.C. Cast,3.95,"155,115",325,Young Adult,Paperback,English
"
The Big Short: Inside the Doomsday Machine
",Michael   Lewis,4.26,"146,691",325,Young Adult,Paperback,English
"
Crossed (Matched, #2)
",Ally Condie,3.53,"230,572",367,Young Adult,Paperback,English
"
Bitterblue (Graceling Realm, #3)
",Kristin Cashore,3.98,"113,219",367,Young Adult,Paperback,English
"
The Death Cure (The Maze Runner, #3)
",James Dashner,3.77,"373,850",325,Young Adult,Hardcover,English
"
Colorless Tsukuru Tazaki and his years of pilgrimage
",Haruki Murakami,3.86,"144,186",308,Fiction,Kindle Edition,English
"
An Ember in the Ashes (An Ember in the Ashes, #1)
",Sabaa Tahir,4.26,"226,274",446,Fantasy,Paperback,English
"
I Am Number Four (Lorien Legacies, #1)
",Pittacus Lore,3.93,"330,300",440,Young Adult,Hardcover,English
"
Angelfall (Penryn & the End of Days, #1)
",Susan Ee,4.1,"185,497",288,Fantasy,Kindle Edition,English
"
Beautiful Ruins
",Jess Walter,3.68,"166,434",337,Fiction,Hardcover,English
"
Steelheart (The Reckoners, #1)
",Brandon Sanderson,4.12,"166,348",386,Fantasy,Hardcover,English
"
The Distant Hours
",Kate Morton,3.88,"72,853",562,Historical,Hardcover,English
"
Where the Crawdads Sing
",Delia Owens,4.46,"1,390,926",384,Fiction,ebook,English
"
Tell the Wolves I'm Home
",Carol Rifka Brunt,4.02,"132,540",360,Fiction,Hardcover,English
"
Night Film
",Marisha Pessl,3.79,"89,592",640,Mystery,Paperback,English
"
Left Neglected
",Lisa Genova,3.98,"71,384",324,Fiction,Hardcover,English
"
Educated
",Tara Westover,4.46,"1,019,592",334,Nonfiction,Hardcover,English
"
Ignite Me (Shatter Me, #3)
",Tahereh Mafi,4.38,"171,583",421,Science Fiction,Kindle Edition,English
"
I'll Give You the Sun
",Jandy Nelson,4.14,"285,938",371,Young Adult,Hardcover,English
"
The Language of Flowers
",Vanessa Diffenbaugh,4.08,"202,206",323,Fiction,Hardcover,English
"
Empire of Storms (Throne of Glass, #5)
",Sarah J. Maas,4.52,"263,181",689,Fantasy,Hardcover,English
"
The Indigo Spell (Bloodlines, #3)
",Richelle Mead,4.33,"100,727",401,Young Adult,Hardcover,English
"
Yes Please
",Amy Poehler,3.83,"467,692",329,Nonfiction,Hardcover,English
"
Starcrossed (Starcrossed, #1)
",Josephine Angelini,4.02,"72,500",487,Fantasy,Hardcover,English
"
All the Bright Places
",Jennifer Niven,4.14,"380,559",378,Young Adult,Hardcover,English
"
Requiem (Delirium, #3)
",Lauren Oliver,3.74,"138,680",391,Young Adult,Hardcover,English
"
The Hidden Oracle (The Trials of Apollo, #1)
",Rick Riordan,4.19,"135,108",375,Fantasy,Hardcover,English
"
Every Day (Every Day, #1)
",David Levithan,3.92,"211,413",322,Young Adult,Hardcover,English
"
A Darker Shade of Magic (Shades of Magic, #1)
",V.E. Schwab,4.06,"248,018",400,Fantasy,Hardcover,English
"
The Son
",Philipp Meyer,4.01,"31,897",561,Fiction,Hardcover,English
"
When Breath Becomes Air
",Paul Kalanithi,4.36,"484,979",561,Fiction,Hardcover,English
"
Homegoing
",Yaa Gyasi,4.46,"229,890",305,Historical,Hardcover,English
"
I Am Pilgrim
",Terry Hayes,4.26,"138,778",612,Thriller,Hardcover,English
"
Seraphina (Seraphina, #1)
",Rachel Hartman,3.92,"88,530",499,Fantasy,Hardcover,English
"
At Home: A Short History of Private Life
",Bill Bryson,3.96,"87,324",497,Nonfiction,Hardcover,English
"
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
",Todd Burpo,4.01,"294,208",162,Nonfiction,Paperback,English
"
Maybe Someday (Maybe, #1)
",Colleen Hoover,4.25,"194,281",385,Romance,Kindle Edition,English
"
Lincoln in the Bardo
",George Saunders,3.75,"134,704",343,Fiction,Hardcover,English
"
Morning Star (Red Rising Saga, #3)
",Pierce Brown,4.47,"138,478",524,Science Fiction,Hardcover,English
"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
",Marie Kondō,3.85,"310,365",213,Nonfiction,Hardcover,English
"
The Hundred Thousand Kingdoms (Inheritance, #1)
",N.K. Jemisin,3.87,"64,869",427,Fantasy,Paperback,English
"
Code Name Verity
",Elizabeth Wein,4,"108,477",452,Historical,Paperback,English
"
The Black Prism (Lightbringer, #1)
",Brent Weeks,4.21,"111,172",629,Fantasy,Hardcover,English
"
Ancillary Justice (Imperial Radch, #1)
",Ann Leckie,3.97,"91,420",416,Science Fiction,Paperback,English
"
Sapiens: A Brief History of Humankind
",Yuval Noah Harari,4.4,"664,704",512,Nonfiction,Paperback,English
"
The Wrath and the Dawn (The Wrath and the Dawn, #1)
",Renée Ahdieh,4.08,"145,003",404,Fantasy,Hardcover,English
"
This Is How You Lose Her
",Junot Díaz,3.75,"94,791",217,Fiction,Hardcover,English
"
A Constellation of Vital Phenomena
",Anthony Marra,4.07,"53,683",416,Fiction,Paperback,English
"
The Circle
",Dave Eggers,3.44,"192,931",493,Fiction,Hardcover,English
"
Redshirts
",John Scalzi,3.85,"93,740",320,Science Fiction,Hardcover,English
"
Bared to You (Crossfire, #1)
",Sylvia Day,4.17,"478,093",360,Romance,Paperback,English
"
What If? Serious Scientific Answers to Absurd Hypothetical Questions
",Randall Munroe,4.12,"144,680",303,Nonfiction,Hardcover,English
"
Steve Jobs
",Walter Isaacson,4.14,"1,059,214",627,Biography,Hardcover,English
"
Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)
",Robin Sloan,3.74,"186,998",627,Biography,Hardcover,English
"
Pachinko
",Min Jin Lee,4.28,"271,533",496,Historical,Kindle Edition,English
"
Exotic Neurotic
",Kenneth Jarrett Singleton,3.63,"5,020",108,Poetry,Paperback,English
"
A Red Herring Without Mustard (Flavia de Luce, #3)
",Alan Bradley,4.05,"42,039",416,Mystery,Hardcover,English
"
The Scorpio Races
",Maggie Stiefvater,4.06,"108,348",409,Fantasy,Hardcover,English
"
We Were Liars
",E. Lockhart,3.81,"655,085",242,Young Adult,Kindle Edition,English
"
The Magician King (The Magicians, #2)
",Lev Grossman,3.91,"94,397",548,Fantasy,Paperback,English
"
Onyx (Lux, #2)
",Jennifer L. Armentrout,4.25,"164,854",421,Young Adult,Paperback,English
"
The Secret Keeper
",Kate Morton,4.12,"147,586",484,Historical,Hardcover,English
"
The Emperor of All Maladies: A Biography of Cancer
",Siddhartha Mukherjee,4.28,"90,250",571,Nonfiction,Hardcover,English
"
The Lowland
",Jhumpa Lahiri,3.85,"90,104",340,Fiction,Hardcover,English
"
The Tiger's Wife
",Téa Obreht,3.42,"99,546",338,Fiction,Hardcover,English
"
Opal (Lux, #3)
",Jennifer L. Armentrout,4.25,"138,988",394,Young Adult,Paperback,English
